nr_id_unidade_negocio;nr_orders;nr_product_sku;nr_item_sku;dt_orders;nr_canal_venda;ds_status;nr_id_lojista;qty_item;vl_item;vl_product_unit;vl_discounting;vl_product_discounting;vl_freight_discounting;vl_freight
1;225862654;12871052;12871052;20200805;7;TRN;30976;1;"59,9";NULL;0;"59,9";34;34
1;225865092;13293511;13293511;20200805;18;ENT;30976;1;"89,9";NULL;0;"89,9";"19,78";"19,78"
1;225865315;11476953;11476953;20200805;3;ENT;30976;1;"151,9";NULL;0;"151,9";"15,03";"15,03"
1;225868346;1502887607;1502887607;20200805;18;ENT;30976;1;"219,9";NULL;0;"219,9";"57,83";"57,83"
1;225868360;14946464;14946464;20200805;7;IVE;30976;3;"1775,7";NULL;0;"1775,7";"69,33";"69,33"
1;225869469;1504241124;1504241124;20200805;7;ETR;30976;1;314;NULL;0;314;"80,88";"80,88"
1;225869969;14744640;14744640;20200805;9;ROT;30976;1;"3660,9";NULL;0;"3660,9";"49,31";"49,31"
1;225870759;12627063;12627063;20200805;3;PAP;30976;2;"55,8";NULL;0;"55,8";19;19
1;225872294;9009789;9009789;20200805;18;PAP;30976;1;"333,9";NULL;0;"333,9";20;20
1;225873749;6659508;6659508;20200805;3;ROT;30976;1;"44,9";NULL;0;"44,9";26;26
1;225875699;7787321;7787321;20200805;3;TRN;30976;1;"293,9";NULL;0;"293,9";"9,66";"9,66"
1;225879233;1502738201;1502738201;20200805;18;TRD;30976;1;"691,9";NULL;0;"691,9";"46,9";"46,9"
1;225889844;1503021715;1503021715;20200805;7;TRD;30976;1;"298,9";NULL;0;"298,9";"78,52";"78,52"
1;225890728;12699022;5837695;20200805;7;PAP;30976;1;"501,74";NULL;0;0;0;0
1;225890728;12699022;12699022;20200805;7;PAP;30976;1;"3135,9";NULL;0;"3135,9";"63,88";"63,88"
1;225898955;11437193;11437193;20200805;3;PVC;30976;1;1129;NULL;0;1129;"115,14";"115,14"
1;225905611;1500632374;1500632374;20200805;18;ENT;30976;1;"104,9";NULL;0;"104,9";"18,39";"18,39"
1;225913373;13887920;13887920;20200805;3;CAN;30976;1;"279,9";NULL;0;"279,9";38;38
1;225918566;14187618;14187618;20200805;18;ENT;30976;1;"91,9";NULL;0;"91,9";"23,24";"23,24"
1;225931806;1500411386;1500411386;20200805;18;CAN;30976;1;"120,9";NULL;0;"120,9";"46,9";"46,9"
1;225932712;10184807;10184807;20200805;7;PVC;30976;1;"74,9";NULL;0;"74,9";"10,63";"10,63"
1;225938122;1502826661;1502826661;20200805;7;ENT;30976;1;"118,931";NULL;0;"118,931";"17,3498";"17,3498"
1;225938122;1502826661;1502826661;20200805;7;ENT;30976;1;"10,969";NULL;0;"10,969";"1,6002";"1,6002"
1;225939227;1502858070;1502858070;20200805;3;ENT;30976;1;"279,9";NULL;0;"279,9";"25,59";"25,59"
1;225940730;1502900272;1502900272;20200805;18;PAP;30976;1;"123,9";NULL;0;"123,9";"34,3";"34,3"
1;225941761;13176998;13176998;20200805;3;ENT;30976;1;"134,9";NULL;0;"134,9";"34,78";"34,78"
1;225945516;1503501006;1503501006;20200805;7;ENT;30976;1;289;NULL;0;289;"11,66";"11,66"
1;225951797;1500444411;1500444411;20200805;18;PVC;30976;1;439;NULL;0;439;"70,99";"70,99"
1;225952475;1500929423;1500929423;20200805;7;TRN;30976;1;"159,9";NULL;0;"159,9";20;20
1;225953219;12737091;12737091;20200805;3;ENT;30976;1;"40,9";NULL;0;"40,9";"10,63";"10,63"
1;225955764;7481668;7481668;20200805;7;ENT;30976;1;"65,9";NULL;0;"65,9";"8,94";"8,94"
1;225962012;9072565;9072565;20200805;18;CAN;30976;1;"88,9";NULL;0;"88,9";23;23
1;225963628;12770158;12770158;20200805;3;ENT;30976;1;45;NULL;0;45;"10,5";"10,5"
1;225963984;7533840;7533840;20200805;3;ENT;30976;1;"31,9";NULL;0;"31,9";"9,66";"9,66"
1;225963995;12770158;12770158;20200805;3;ENT;30976;1;45;NULL;0;45;"20,39";"20,39"
1;225964175;13197228;13197228;20200805;18;ENT;30976;1;"90,9";NULL;0;"90,9";"7,81";"7,81"
1;225964411;12770158;12770158;20200805;3;PVC;30976;1;45;NULL;0;45;"13,41";"13,41"
1;225965031;1502738240;1502738240;20200805;18;PAP;30976;1;"249,9";NULL;0;"249,9";"34,3";"34,3"
1;225965817;1500442703;1500442703;20200805;3;ENT;30976;1;"159,9";NULL;0;"159,9";"28,8";"28,8"
1;225968052;12037433;12037433;20200805;3;ENT;30976;1;449;NULL;0;449;"24,09";"24,09"
1;225968141;1500444411;1500444411;20200805;18;PVC;30976;1;439;NULL;0;439;"53,81";"53,81"
1;225968279;1503626139;1503626139;20200805;7;ENT;30976;1;"181,9";NULL;0;"181,9";"17,98";"17,98"
1;225969723;1500632044;1500632044;20200805;7;ENT;30976;1;"154,9";NULL;0;"154,9";"21,7";"21,7"
1;225971740;12770158;12770158;20200805;18;ENT;30976;1;45;NULL;0;45;"13,56";"13,56"
1;225971818;1504418305;1504418305;20200805;3;PVC;30976;1;"134,9";NULL;0;"134,9";"13,76";"13,76"
1;225971841;4026276;4026276;20200806;18;PVC;30976;1;"469,9";NULL;0;"437,01";"26,7";"26,7"
1;225980206;1504088460;1504088460;20200806;18;CAN;30976;1;"490,9";NULL;0;"490,9";"87,25";"87,25"
1;225982088;13176918;13176918;20200806;18;PVC;30976;1;"139,9";NULL;0;"139,9";36;36
