ID Loja;Lojista;Cluster;Mundo;Responsável
12322;CIA DO SOM AUTOMOTIVO;A;Cauda Longa;Suporte
13685;1001 Utilidades;A;Cauda Longa;Ana Pontes
13676;Admirare;AAA;Cauda Longa;Paloma
13620;AudioDriver;AAA;Cauda Longa;Marcella
11116;Loja do Kite;A;Cauda Longa;Suporte
11994;TOTAL BUY;A;Cauda Longa;Ana Pontes
11182;MOBILISTORE;A;Móveis;Ana pontes
11787;VIVENDA LAZER;AAA;Móveis;Eve
12273;Shop Musicale;A;Cauda Longa;Suporte
12403;CABEÇA CAR;A;Cauda Longa;Ana Pontes
14083;Aconchegoshop;A;Cauda Longa;Suporte
12020;SUPER GADGETS;A;Tecnologia;Ana pontes
12213;NGAMES;A;Cauda Longa;Suporte
11850;LGA COMÉRCIO LTDA;A;Tecnologia;Ana pontes
13591;Theoria Online;A;Cauda Longa;Suporte
11615;Sarcompy;A;Tecnologia;Ana pontes
11258;Organize Shop;A;Móveis;Ana pontes
11770;SB RIO;A;Cauda Longa;Ana Pontes
13605;Rei da Venda;A;Cauda Longa;Ana Pontes
12211;SafariShop;A;Tecnologia;Ana pontes
11704;Beleza de Mulher;A;Cauda Longa;Ana Pontes
12040;Smart Us Magazine;A;Cauda Longa;Suporte
14078;Navigandi;A;Cauda Longa;Ana Pontes
13889;Fabone;A;Móveis;Ana pontes
11391;Loja da Jardinagem;A;Cauda Longa;Ana Pontes
10407;Controle Net;A;Tecnologia;Ana pontes
11970;SKALLA MAGAZINE;A;Cauda Longa;Ana Pontes
12229;PresenteFacil;A;Cauda Longa;Suporte
11979;ÚTIL MAIS;A;Cauda Longa;Ana Pontes
13728;Paulo Cezar Enxovais;AAA;Cauda Longa;Anna Fagundes
10971;TocTech;AAA;Cauda Longa;Selma
12136;UDTV;A;Cauda Longa;Suporte
13617;W Automação;A;Cauda Longa;Ana Pontes
11442;Ejacaré;A;Cauda Longa;Ana Pontes
12150;Satimagem Especialista em Antenas;A;Cauda Longa;Ana Pontes
11520;Qloja!;A;Cauda Longa;Suporte
13969;TECHNO GADGET;A;Cauda Longa;Ana Pontes
